playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 110, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 106, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 106, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 106, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 110, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 116, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 116, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 117, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 117, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 118, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 119, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
